month,channel,sessions,signups,conversion_rate,avg_session_duration_sec,bounce_rate,pages_per_session
2024-01,Organic Search,18626,575,3.09,342,0.56,4.2
2024-01,Paid Search,9931,391,3.94,92,0.38,2.3
2024-01,Direct,8477,608,7.17,397,0.7,4.7
2024-01,Social (Organic),3637,29,0.81,384,0.47,2.2
2024-01,Social (Paid),3021,45,1.5,205,0.69,4.9
2024-01,Referral,2902,94,3.25,194,0.59,2.7
2024-01,Email,3371,124,3.68,367,0.61,1.7
2024-01,Affiliate,3200,92,2.88,320,0.39,4.4
2024-01,Content Syndication,3225,97,3.03,269,0.71,4.5
2024-01,Developer Communities,5929,498,8.41,126,0.69,5
2024-02,Organic Search,28313,846,2.99,113,0.71,5.4
2024-02,Paid Search,11796,516,4.38,376,0.65,4.1
2024-02,Direct,9204,593,6.45,237,0.41,1.8
2024-02,Social (Organic),4242,75,1.77,327,0.64,4.2
2024-02,Social (Paid),3492,34,0.99,275,0.69,2.7
2024-02,Referral,1444,39,2.72,267,0.64,4.8
2024-02,Email,3625,97,2.68,106,0.7,3.6
2024-02,Affiliate,2141,64,3.03,412,0.74,1.8
2024-02,Content Syndication,1794,69,3.86,287,0.6,3.4
2024-02,Developer Communities,6485,518,8,375,0.47,4.9
2024-03,Organic Search,16460,593,3.61,318,0.59,5.2
2024-03,Paid Search,13332,589,4.42,267,0.49,2.6
2024-03,Direct,4908,260,5.3,146,0.49,1.7
2024-03,Social (Organic),3459,41,1.21,270,0.36,1.9
2024-03,Social (Paid),2873,35,1.24,369,0.58,1.7
2024-03,Referral,1841,62,3.39,248,0.74,3.7
2024-03,Email,904,21,2.35,99,0.37,3.2
2024-03,Affiliate,3839,148,3.87,323,0.42,5.3
2024-03,Content Syndication,1904,68,3.62,385,0.58,3.6
2024-03,Developer Communities,6904,574,8.32,359,0.42,4.4
2024-04,Organic Search,27382,874,3.2,340,0.37,1.6
2024-04,Paid Search,7971,384,4.82,196,0.68,5.1
2024-04,Direct,6824,456,6.7,404,0.7,5.1
