keyword,category,traffic_2024,traffic_2025,traffic_change_pct,position_2024,position_2025,position_change,signups_2024,signups_2025,conversion_rate_2024,conversion_rate_2025,ai_overview_triggered,difficulty_score,cpc_usd
ai coding assistant,High Intent Product,1660,2030,22.3,21,19,-2,42,76,3.14,3.64,No,48,12.59
ai code completion,High Intent Product,1569,2005,27.8,23,15,-8,72,103,5.03,5.32,Yes,73,10.63
ai pair programmer,High Intent Product,3358,3533,5.2,5,6,1,104,82,2.99,2.84,Yes,28,17.1
code autocomplete ai,High Intent Product,2861,3022,5.7,22,22,0,148,150,5.33,4.99,Yes,71,5.19
ai code generator,High Intent Product,3952,4670,18.2,8,10,2,137,180,3.41,3.25,Yes,50,9.47
ai programming assistant,High Intent Product,5097,5908,15.9,10,12,2,252,282,5.63,5.15,No,40,14.08
copilot alternative,High Intent Product,1678,2109,25.7,43,39,-4,101,125,5.4,4.98,Yes,48,8.62
github copilot alternative,High Intent Product,3495,4874,39.5,37,31,-6,97,106,2.52,2.32,No,65,16.68
ai code review tool,High Intent Product,1000,1065,6.6,25,27,2,43,58,4.68,5.24,Yes,51,11.2
ai debugging tool,High Intent Product,7556,9423,24.7,16,14,-2,363,522,5.9,6.57,No,84,4.17
ai refactoring tool,High Intent Product,1663,1762,6,32,33,1,70,93,4.73,4.84,No,60,17.11
code ai assistant,High Intent Product,2522,3173,25.8,8,3,-5,139,173,4.93,4.71,No,35,7.53
ai powered ide,High Intent Product,2838,3011,6.1,29,31,2,128,157,5.64,5.67,Yes,30,10.42
ai coding tool,High Intent Product,5544,6610,19.2,26,29,3,201,274,4.2,4.05,Yes,76,8.14
machine learning code assistant,High Intent Product,6416,6649,3.6,5,2,-3,186,245,3.39,4.06,No,26,10.29
llm coding assistant,High Intent Product,6485,6943,7.1,4,5,1,168,194,2.62,3.13,No,28,3.75
ai code writer,High Intent Product,4055,4885,20.5,36,33,-3,129,208,3.33,3.81,Yes,33,7.47
automated code completion,High Intent Product,4197,5248,25,38,32,-6,224,278,4.94,5.64,Yes,31,5.2
smart code completion,High Intent Product,3776,4271,13.1,13,13,0,160,162,3.89,3.75,No,66,6.5
intelligent code assistant,High Intent Product,6683,8646,29.4,4,1,-3,174,365,3.11,3.64,No,83,5.42
ai developer tools,High Intent Product,3970,4947,24.6,35,30,-5,163,269,4.95,4.7,No,44,11.5
ai software development,High Intent Product,3983,4708,18.2,20,18,-2,122,131,2.86,3.13,Yes,57,2.78
ai code suggestions,High Intent Product,5293,6411,21.1,9,3,-6,204,209,3.64,3.9,No,75,12.36
ai programming tool,High Intent Product,1845,2381,29.1,10,4,-6,60,84,3.35,3.37,Yes,71,10.13
code generation ai,High Intent Product,5348,6014,12.5,19,19,0,207,274,3.31,3.92,No,59,14.09
ai coding agent,High Intent Product,1860,2045,10,37,37,0,122,110,5.75,5.68,No,47,6.66
autonomous coding agent,High Intent Product,4194,4801,14.5,5,9,4,107,152,3.09,2.98,No,47,4.67
agentic coding tool,High Intent Product,954,1013,6.3,11,10,-1,36,35,3.53,3.77,No,50,15.06
cursor vs copilot,Competitor Comparison,10216,11764,15.2,22,19,-3,147,171,1.74,1.78,Yes,75,7.74
tabnine vs copilot,Competitor Comparison,7419,8611,16.1,24,22,-2,274,221,3.23,3.15,Yes,39,8.08
