month,website_traffic,unique_signups,trials_started,paid_conversions,mrr_usd,churn_rate,signup_to_trial_rate,trial_to_paid_rate,net_new_mrr,expansion_mrr,churned_mrr
2024-01,48676,3088,2204,364,33305,0.0457,71.37,16.52,3642,981,1522
2024-02,42711,3031,1991,352,25652,0.0484,65.69,17.68,3167,967,1241
2024-03,44311,2659,1990,436,26358,0.0467,74.84,21.91,3067,1020,1230
2024-04,43662,3011,1912,388,27175,0.0393,63.5,20.29,2720,1226,1067
2024-05,43383,2945,1874,375,28198,0.0426,63.63,20.01,2843,999,1201
2024-06,46948,2941,1832,381,26721,0.0398,62.29,20.8,2594,1323,1063
2024-07,38522,2376,1615,302,25832,0.0374,67.97,18.7,2646,1123,966
2024-08,39484,2626,1734,317,25975,0.0381,66.03,18.28,3162,999,989
2024-09,49822,3286,2379,502,32890,0.0433,72.4,21.1,3512,1123,1424
2024-10,46197,2807,2151,375,28110,0.0429,76.63,17.43,3827,1226,1205
2024-11,47349,2797,2113,338,31079,0.0452,75.55,16,3577,1241,1404
2024-12,42151,2305,1887,341,24741,0.0385,81.87,18.07,2897,987,952
2025-01,51607,3377,2171,503,33261,0.0505,64.29,23.17,3367,1248,1679
2025-02,45724,2961,2154,346,26716,0.0513,72.75,16.06,2837,1176,1370
2025-03,47423,3125,1809,353,29639,0.053,57.89,19.51,3435,1062,1570
2025-04,48056,3193,2156,458,26592,0.038,67.52,21.24,3330,1268,1010
2025-05,45771,2795,2139,346,28722,0.0451,76.53,16.18,3529,1306,1295
2025-06,46445,3025,2048,407,30417,0.0407,67.7,19.87,3043,938,1237
2025-07,34107,2220,1629,319,27628,0.0564,73.38,19.58,3188,1034,1558
2025-08,34027,2031,1544,346,24454,0.0491,76.02,22.41,3262,832,1200
2025-09,48106,2959,2135,375,34534,0.0592,72.15,17.56,4360,1339,2044
2025-10,45751,3000,2046,444,31371,0.0479,68.2,21.7,3182,1420,1502
2025-11,48302,3242,2244,353,31980,0.0367,69.22,15.73,3633,1311,1173
2025-12,40235,2783,1587,324,26957,0.0489,57.02,20.42,3773,1211,1318
